,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
58,Midnight Rain,Midnights,2022-10-21,6,1DAHLigfUqSLrU3RLG1EKR,spotify:track:1DAHLigfUqSLrU3RLG1EKR,0.723,0.638,0.369,5.26e-05,0.115,-11.711,0.0737,139.932,0.183,53,174782
59,Question...?,Midnights,2022-10-21,7,41TKEKuYDOQ6eNI56mOLqy,spotify:track:41TKEKuYDOQ6eNI56mOLqy,0.205,0.73,0.495,0.0,0.274,-8.729,0.195,108.967,0.111,44,210556
60,Vigilante Shit,Midnights,2022-10-21,8,7EkAf94yIyU5k686SDYNHP,spotify:track:7EkAf94yIyU5k686SDYNHP,0.175,0.87,0.284,4.06e-05,0.127,-10.984,0.402,79.975,0.176,47,164801
61,Bejeweled,Midnights,2022-10-21,9,5eZin4PL4EZpemG7Vi6Qvq,spotify:track:5eZin4PL4EZpemG7Vi6Qvq,0.0641,0.696,0.56,7.88e-05,0.0888,-9.137,0.0664,164.0,0.39,49,194165
62,Labyrinth,Midnights,2022-10-21,10,2pRNMwZ4lmmXBQRjytMyi2,spotify:track:2pRNMwZ4lmmXBQRjytMyi2,0.802,0.48,0.31,0.218,0.123,-15.418,0.0439,109.982,0.146,42,247962
63,Karma,Midnights,2022-10-21,11,6IW6cNEGZEtgJtw9ThbrG8,spotify:track:6IW6cNEGZEtgJtw9ThbrG8,0.0655,0.648,0.639,0.0,0.499,-7.052,0.065,90.012,0.102,46,204852
64,Sweet Nothing,Midnights,2022-10-21,12,5YhIwCzTBYp9TfSYFRyFL6,spotify:track:5YhIwCzTBYp9TfSYFRyFL6,0.966,0.336,0.159,9.79e-05,0.115,-14.899,0.0463,176.768,0.392,45,188496
65,Mastermind,Midnights,2022-10-21,13,7zcJSflhqcSGICHUjgncnj,spotify:track:7zcJSflhqcSGICHUjgncnj,0.549,0.661,0.354,0.00121,0.0912,-14.088,0.142,125.974,0.123,47,191039
66,State Of Grace (Taylor's Version),Red (Taylor's Version),2021-11-12,1,6lzc0Al0zfZOIFsFvBS1ki,spotify:track:6lzc0Al0zfZOIFsFvBS1ki,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,71,295413
67,Red (Taylor's Version),Red (Taylor's Version),2021-11-12,2,4OAuvHryIVv4kMDNSLuPt6,spotify:track:4OAuvHryIVv4kMDNSLuPt6,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,78,223093
68,Treacherous (Taylor's Version),Red (Taylor's Version),2021-11-12,3,3S7HNKPakdwNEBFIVTL6dZ,spotify:track:3S7HNKPakdwNEBFIVTL6dZ,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,71,242720
69,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021-11-12,4,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,78,219760
70,All Too Well (Taylor's Version),Red (Taylor's Version),2021-11-12,5,3nsfB1vus2qaloUdcBZvDu,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,75,329160
71,22 (Taylor's Version),Red (Taylor's Version),2021-11-12,6,3yII7UwgLF6K5zW3xad3MP,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,76,230960
72,I Almost Do (Taylor's Version),Red (Taylor's Version),2021-11-12,7,2r9CbjYgFhtAmcFv1cSquB,spotify:track:2r9CbjYgFhtAmcFv1cSquB,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,69,244586
73,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021-11-12,8,5YqltLsjdqFtvqE7Nrysvs,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,79,193146
74,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021-11-12,9,7eQj6r5PIdYKEIZjucBMcq,spotify:track:7eQj6r5PIdYKEIZjucBMcq,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,69,205786
75,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021-11-12,10,0y6kdSRCVQhSsHSpWvTUm7,spotify:track:0y6kdSRCVQhSsHSpWvTUm7,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,71,299080
76,Holy Ground (Taylor's Version),Red (Taylor's Version),2021-11-12,11,7J4b3LVCIGO4CMBDFLPoP6,spotify:track:7J4b3LVCIGO4CMBDFLPoP6,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,69,202960
77,Sad Beautiful Tragic (Taylor's Version),Red (Taylor's Version),2021-11-12,12,73qMN9bXy7MSPwwGfH3wQr,spotify:track:73qMN9bXy7MSPwwGfH3wQr,0.622,0.601,0.406,9.19e-05,0.133,-11.827,0.0275,130.059,0.232,70,284773
78,The Lucky One (Taylor's Version),Red (Taylor's Version),2021-11-12,13,4e5ayHsOLJNLTGfjau2mEw,spotify:track:4e5ayHsOLJNLTGfjau2mEw,0.066,0.686,0.571,0.0,0.0608,-7.138,0.05,117.889,0.538,69,240466
79,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),Red (Taylor's Version),2021-11-12,14,7qEUFOVcxRI19tbT68JcYK,spotify:track:7qEUFOVcxRI19tbT68JcYK,0.271,0.498,0.61,0.0,0.223,-5.098,0.0363,79.918,0.474,74,245426
80,Starlight (Taylor's Version),Red (Taylor's Version),2021-11-12,15,7A2cNLRT0YJc1yjxHlKihs,spotify:track:7A2cNLRT0YJc1yjxHlKihs,0.00324,0.628,0.685,0.0,0.18,-5.864,0.0358,126.014,0.605,67,220413
81,Begin Again (Taylor's Version),Red (Taylor's Version),2021-11-12,16,05GsNucq8Bngd9fnd4fRa0,spotify:track:05GsNucq8Bngd9fnd4fRa0,0.075,0.519,0.527,0.0,0.132,-7.673,0.0274,78.915,0.267,71,238866
82,The Moment I Knew (Taylor's Version),Red (Taylor's Version),2021-11-12,17,0NRHj8hDwwmSPaA41o379r,spotify:track:0NRHj8hDwwmSPaA41o379r,0.0494,0.636,0.402,0.0,0.107,-7.855,0.031,125.952,0.208,67,285280
83,Come Back...Be Here (Taylor's Version),Red (Taylor's Version),2021-11-12,18,4pNApnaUWAL2J4KO2eqokq,spotify:track:4pNApnaUWAL2J4KO2eqokq,0.0158,0.46,0.632,0.0,0.0822,-6.031,0.0302,79.846,0.399,71,223333
84,Girl At Home (Taylor's Version),Red (Taylor's Version),2021-11-12,19,0DMVrlMUn01M0IcpDbwgu7,spotify:track:0DMVrlMUn01M0IcpDbwgu7,0.00955,0.691,0.736,1.88e-05,0.101,-6.974,0.0326,125.089,0.612,65,220520
85,State Of Grace (Acoustic Version) (Taylor's Version),Red (Taylor's Version),2021-11-12,20,5jAIouBES8LWMiriuNq170,spotify:track:5jAIouBES8LWMiriuNq170,0.663,0.445,0.131,1.57e-06,0.108,-13.778,0.0564,208.918,0.101,65,321640
86,Ronan (Taylor's Version),Red (Taylor's Version),2021-11-12,21,7nWui6jiMM2m9qFmET1Mtj,spotify:track:7nWui6jiMM2m9qFmET1Mtj,0.661,0.623,0.279,0.0,0.193,-10.802,0.031,116.04,0.38,62,264253
87,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,22,4OmFmE0fzcMG6g0Y8p4eSD,spotify:track:4OmFmE0fzcMG6g0Y8p4eSD,0.214,0.473,0.579,0.0,0.0877,-5.824,0.0384,73.942,0.255,71,297013
88,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,23,01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B,0.817,0.606,0.377,0.0,0.154,-9.455,0.0275,101.96,0.446,75,258812
89,Babe (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,24,0v4z1tuZvn6LGknom9Qx7d,spotify:track:0v4z1tuZvn6LGknom9Qx7d,0.0538,0.584,0.743,2.83e-06,0.121,-7.075,0.0931,167.844,0.746,72,224240
90,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,25,3z6XUommYDWPHeFhmhhT6j,spotify:track:3z6XUommYDWPHeFhmhhT6j,0.00188,0.622,0.791,3.72e-06,0.083,-6.106,0.0535,115.915,0.494,73,225960
91,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,26,4CkgMiMqZ5JzW9iYXSTMTL,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,0.167,0.391,0.715,0.0,0.183,-4.516,0.0495,149.654,0.473,75,285106
92,Forever Winter (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,27,3oGVx9RBmiYGv5ZCecWLkx,spotify:track:3oGVx9RBmiYGv5ZCecWLkx,0.256,0.611,0.552,0.0,0.134,-5.828,0.031,116.012,0.41,67,263533
93,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),2021-11-12,28,4IQkfUsrwXol38VV3U7t7T,spotify:track:4IQkfUsrwXol38VV3U7t7T,0.817,0.61,0.488,0.0,0.312,-6.918,0.0293,125.039,0.443,70,240226
94,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,29,6pYNq0ZwpPVazKzsqpf0G8,spotify:track:6pYNq0ZwpPVazKzsqpf0G8,0.00115,0.678,0.733,0.0,0.104,-5.025,0.0281,121.009,0.581,74,200280
95,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),2021-11-12,30,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,84,613026
96,State Of Grace (Taylor's Version),Red (Taylor's Version),2021-11-12,1,5lFDIbYMcFHPPgzMcnPqSz,spotify:track:5lFDIbYMcFHPPgzMcnPqSz,0.000328,0.594,0.713,0.0,0.114,-5.314,0.0503,129.958,0.328,58,295413
97,Red (Taylor's Version),Red (Taylor's Version),2021-11-12,2,78c485atQVK19038U2RUld,spotify:track:78c485atQVK19038U2RUld,0.00108,0.516,0.777,1.62e-06,0.0761,-4.908,0.0375,125.047,0.408,47,223093
98,Treacherous (Taylor's Version),Red (Taylor's Version),2021-11-12,3,0YrMTMLpLq1UIkWgghNM6c,spotify:track:0YrMTMLpLq1UIkWgghNM6c,0.0344,0.645,0.593,0.000127,0.13,-6.506,0.0288,109.984,0.299,46,242720
99,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),2021-11-12,4,6tNSmBKSjFV1366ASuULfZ,spotify:track:6tNSmBKSjFV1366ASuULfZ,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,74,219760
100,All Too Well (Taylor's Version),Red (Taylor's Version),2021-11-12,5,1IBhYEvvi02tDVByxIiTh4,spotify:track:1IBhYEvvi02tDVByxIiTh4,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,58,329160
101,22 (Taylor's Version),Red (Taylor's Version),2021-11-12,6,2T9WeqSMJJb8YBDHPYGU4p,spotify:track:2T9WeqSMJJb8YBDHPYGU4p,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,70,230960
102,I Almost Do (Taylor's Version),Red (Taylor's Version),2021-11-12,7,6KcTkNLx1IKVDAdexl24kL,spotify:track:6KcTkNLx1IKVDAdexl24kL,0.0167,0.511,0.559,0.0,0.113,-6.587,0.0264,145.88,0.248,41,244586
103,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),2021-11-12,8,31CdkzHnMbvJuKZvtCQfR6,spotify:track:31CdkzHnMbvJuKZvtCQfR6,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,72,193146
104,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),2021-11-12,9,1ftFtW8S1621tu0MIQy0Sg,spotify:track:1ftFtW8S1621tu0MIQy0Sg,0.0848,0.693,0.681,0.0,0.0768,-7.039,0.025,100.02,0.663,44,205786
105,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021-11-12,10,2eybKKDV7Naq9DhiUJpJSP,spotify:track:2eybKKDV7Naq9DhiUJpJSP,0.0399,0.502,0.534,0.0,0.0977,-5.954,0.0278,94.05,0.155,42,299080
106,Holy Ground (Taylor's Version),Red (Taylor's Version),2021-11-12,11,661CJWXysgwKXI1dreYNBU,spotify:track:661CJWXysgwKXI1dreYNBU,0.0288,0.622,0.809,0.00218,0.109,-5.623,0.0638,156.894,0.511,51,202960
